T_600,T_800,T_1000,T_1200,T_1400,T_1600,T_1800,Beta_0.15,Beta_0.17,Beta_0.19,Beta_0.21,Beta_0.23,Beta_0.25,Beta_0.27,Beta_0.29
4527.361655,3362.476232,2303.058916,1421.104858,767.0079479,352.7439135,140.1175119,15.84670984,52.34338157,176.63161,582.0003599,1750.694636,4527.361655,9282.465668,13479.60213
5113.594852,3837.292225,2648.612713,1640.522441,882.9702886,400.1202329,153.8514953,16.40280688,55.71331349,193.7272798,653.9424795,1990.983752,5113.594852,10084.59991,13521.68136
5740.403875,4360.077483,3038.012823,1892.070106,1017.330933,455.0484051,169.4566763,16.9819864,59.33806607,212.6564025,734.839398,2260.077491,5740.403875,10804.08091,13275.19696
6399.262898,4929.035295,3473.584989,2179.24634,1172.74576,518.7753271,187.2386424,17.58542199,63.24002867,233.6236847,825.6989669,2559.918371,6399.262898,11400.87049,12759.53275
7077.8797,5539.828645,3956.579985,2505.472406,1352.126271,592.7348349,207.5565871,18.2143595,67.44375512,256.855411,927.6057482,2892.084442,7077.8797,11837.6443,12016.90509
7759.972508,6185.010347,4486.706076,2873.890705,1558.61553,678.5673065,230.8324283,18.87012213,71.9761765,282.6012467,1041.715961,3257.599382,7759.972508,12084.41727,11105.31527
8425.410345,6853.537391,5061.595254,3287.094033,1795.54028,778.1383052,257.5612122,19.55411605,76.86683276,311.136082,1169.248262,3656.705614,8425.410345,12122.85331,10089.30584
9050.843417,7530.476401,5676.235523,3746.777562,2066.330873,893.5547706,288.3228895,20.26783639,82.1481246,342.7618881,1311.469188,4088.60455,9050.843417,11949.27975,9030.966655
9610.907603,8197.027325,6322.425725,4253.311249,2374.399239,1027.176627,323.7955214,21.01287369,87.85558663,377.809547,1469.671914,4551.17416,9610.907603,11575.59966,7983.161125
10080.00173,8830.993532,6988.337044,4805.240612,2722.964105,1181.620853,364.7699363,21.79092095,94.02818293,416.6406021,1645.146831,5040.682147,10080.00173,11027.77277,6985.881938
10434.51321,9407.79613,7658.291442,5398.739511,3114.812661,1359.754016,412.1658014,22.60378119,100.7086261,459.648863,1839.142337,5551.52265,10434.51321,10342.17067,6065.570923
10655.22974,9902.059399,8312.883217,6027.059963,3551.989514,1564.668062,467.0489876,23.45337559,107.9437203,507.2617766,2052.814248,6076.014549,10655.22974,9560.661808,5236.562148
10729.56286,10289.68367,8929.564358,6680.049898,4035.408161,1799.632706,530.649989,24.34175236,115.7847301,559.9414576,2287.162368,6604.30823,10729.56286,8725.532307,4503.626963
10653.16969,10550.18882,9483.775598,7343.836435,4564.388381,2068.016316,604.3829823,25.2710963,124.2877741,618.1852405,2542.953134,7124.452297,10653.16969,7875.230145,3864.771156
10430.62617,10668.99066,9950.626154,8000.792881,5136.136037,2373.165803,689.8648671,26.24373908,133.5142448,682.5255885,2820.62792,7622.668641,10430.62617,7041.532247,3313.746519
10074.97841,10639.2087,10307.01034,8629.912165,5745.200429,2718.235067,788.9332859,27.2621705,143.5312553,753.5291565,3120.197636,8083.870235,10074.97841,6248.26808,2842.03335
